lat,long,yr,mon,day,temp,rh,ws,prec
45.996,-77.427,2007,5,11,14.61,51.85,14.21,0.5
45.996,-77.427,2007,5,12,10.55,26.33,7.758,0
45.996,-77.427,2007,5,13,13.64,23.39,11.26,0
45.996,-77.427,2007,5,14,20.66,17.9,14.86,0
45.996,-77.427,2007,5,15,13.32,91.9,4.268,5.7
45.996,-77.427,2007,5,16,8.82,70.01,8.16,11.4
45.996,-77.427,2007,5,17,13.57,32.26,8.28,0.8
45.996,-77.427,2007,5,18,15.65,38.81,10.18,0
45.996,-77.427,2007,5,19,21.55,27.83,8.23,0
45.996,-77.427,2007,5,20,9.33,60.38,12.21,0
45.996,-77.427,2007,5,21,15.11,22.64,9.13,0
45.996,-77.427,2007,5,22,19.88,20.97,7.158,0
45.996,-77.427,2007,5,23,23.73,30.52,14.78,0
45.996,-77.427,2007,5,24,30.75,35.6,8.98,0
45.996,-77.427,2007,5,25,28.54,41.5,18.07,0
45.996,-77.427,2007,5,26,19.16,36.18,7.893,0
45.996,-77.427,2007,5,27,11.41,92.5,10.51,0.5
45.996,-77.427,2007,5,28,15.12,63.1,14.5,3.2
45.996,-77.427,2007,5,29,20.97,37.68,7.054,0
45.996,-77.427,2007,5,30,22.78,72.53,7.403,0
45.996,-77.427,2007,5,31,21.01,83.1,6.659,13.7
45.996,-77.427,2007,6,1,24.48,68.85,5.32,16
45.996,-77.427,2007,6,2,23.29,73.25,4.735,11.6
45.996,-77.427,2007,6,3,22.71,66.8,9.38,2
45.996,-77.427,2007,6,4,17.06,97.5,9.17,7.5
45.996,-77.427,2007,6,5,6.306,89.7,9.77,20.2
45.996,-77.427,2007,6,6,12.36,49.67,10.24,4
45.996,-77.427,2007,6,7,12.09,88,14.37,4.6
45.996,-77.427,2007,6,8,28.16,61.85,8.6,0
45.996,-77.427,2007,6,9,20.77,45.29,8.93,14.8
45.996,-77.427,2007,6,10,24.21,31.24,7.84,0
45.996,-77.427,2007,6,11,28.13,37.54,5.336,0
45.996,-77.427,2007,6,12,31.58,27.83,8.57,0
45.996,-77.427,2007,6,13,27.69,46,9.54,0
45.996,-77.427,2007,6,14,25.06,41.43,10.35,0
45.996,-77.427,2007,6,15,27.45,44.57,6.226,0
45.996,-77.427,2007,6,16,28.82,45.05,7.243,0
45.996,-77.427,2007,6,17,23.67,39.49,9.11,0
45.996,-77.427,2007,6,18,17.89,82.8,5.839,0.2
45.996,-77.427,2007,6,19,28.44,56.74,11.8,0.2
45.996,-77.427,2007,6,20,17.43,67.62,13.01,15.2
45.996,-77.427,2007,6,21,18.69,79.63,4.28,1.9
45.996,-77.427,2007,6,22,16.68,47.5,15.45,0.3
45.996,-77.427,2007,6,23,15.41,40.34,12.44,0
45.996,-77.427,2007,6,24,21.31,56.61,5.92,0
45.996,-77.427,2007,6,25,22.06,74.34,5.452,2.4
45.996,-77.427,2007,6,26,30.38,51.25,7.59,0.8
45.996,-77.427,2007,6,27,32.67,48.42,13.26,0
45.996,-77.427,2007,6,28,16.38,52.15,11.64,5.1
45.996,-77.427,2007,6,29,21.52,39.15,9.38,0
45.996,-77.427,2007,6,30,13.25,82.8,5.748,2.5
45.996,-77.427,2007,7,1,16.54,53.27,3.324,0.1
45.996,-77.427,2007,7,2,20.26,49.86,10.32,2.8
45.996,-77.427,2007,7,3,23.36,39.69,6.168,1.8
45.996,-77.427,2007,7,4,16.35,82.9,5.004,3
45.996,-77.427,2007,7,5,22.51,62.23,9.29,3.1
45.996,-77.427,2007,7,6,17.43,81.6,7.764,3.2
45.996,-77.427,2007,7,7,17.97,74.07,7.368,1.5
45.996,-77.427,2007,7,8,18.99,87.7,4.752,14.1
45.996,-77.427,2007,7,9,23.94,80.4,7.092,17.3
45.996,-77.427,2007,7,10,24.86,58.96,10.56,0
45.996,-77.427,2007,7,11,24.28,54.83,20.96,11.7
45.996,-77.427,2007,7,12,20.84,48.12,4.632,0
45.996,-77.427,2007,7,13,17.71,75.37,9.61,5.9
45.996,-77.427,2007,7,14,17.09,81.7,3.792,0.2
45.996,-77.427,2007,7,15,19.47,63.29,13.1,4.9
45.996,-77.427,2007,7,16,22.68,41.84,15.62,9.6
45.996,-77.427,2007,7,17,25.23,40.41,8.53,0
45.996,-77.427,2007,7,18,25.23,45.49,5.688,0
45.996,-77.427,2007,7,19,23.15,57.87,8.03,1.4
45.996,-77.427,2007,7,20,19.85,63.16,5.556,32.4
45.996,-77.427,2007,7,21,23.67,42.49,10.49,0
45.996,-77.427,2007,7,22,25.58,38.53,9.64,0
45.996,-77.427,2007,7,23,26.12,51.53,6.924,0
45.996,-77.427,2007,7,24,27.28,47.3,5.268,0
45.996,-77.427,2007,7,25,27.72,52.75,8.42,0
45.996,-77.427,2007,7,26,27.83,57.97,9.34,0
45.996,-77.427,2007,7,27,26.46,56.13,5.916,0
45.996,-77.427,2007,7,28,24.25,63.8,4.56,0
45.996,-77.427,2007,7,29,25.47,37.78,7.524,0
45.996,-77.427,2007,7,30,28.54,43.79,7.332,0
45.996,-77.427,2007,7,31,28.71,46.85,4.872,0.5
45.996,-77.427,2007,8,1,30.9,48.97,11.94,0
45.996,-77.427,2007,8,2,32.63,43.89,12.97,0
45.996,-77.427,2007,8,3,27.93,35.33,12.42,3.5
45.996,-77.427,2007,8,4,22.58,42.56,7.656,0
45.996,-77.427,2007,8,5,24.25,38.77,9.59,0
45.996,-77.427,2007,8,6,24.25,66.97,7.656,0.3
45.996,-77.427,2007,8,7,23.77,58.82,8.98,0
45.996,-77.427,2007,8,8,25.27,61.21,11.17,6.9
45.996,-77.427,2007,8,9,20.39,54.09,6.936,0
45.996,-77.427,2007,8,10,25.51,40.17,4.236,0
45.996,-77.427,2007,8,11,28.27,43.17,9.9,0
45.996,-77.427,2007,8,12,28.17,48.7,14.75,0
45.996,-77.427,2007,8,13,22.54,35.06,5.94,0.6
45.996,-77.427,2007,8,14,20.53,51.42,5.3856,0
45.996,-77.427,2007,8,15,20.43,46.1,10.45,7
45.996,-77.427,2007,8,16,23.53,63.15,15.2,0.3
45.996,-77.427,2007,8,17,19.61,41.95,7.98,0
45.996,-77.427,2007,8,18,15.12,54.88,12.82,7.7
45.996,-77.427,2007,8,19,17.02,52.38,7.812,0
45.996,-77.427,2007,8,20,19.16,47.02,5.832,0
45.996,-77.427,2007,8,21,20.97,40.92,11.76,0
45.996,-77.427,2007,8,22,17.7,78.1,11.9,0
45.996,-77.427,2007,8,23,23.6,75.7,10.18,0.7
45.996,-77.427,2007,8,24,26.29,70.32,11.96,6.2
45.996,-77.427,2007,8,25,18.59,98.9,4.128,18
45.996,-77.427,2007,8,26,20.56,52.38,12.02,10.7
45.996,-77.427,2007,8,27,21.59,52.51,6.756,0
