lat,long,yr,mon,day,hr,temp,rh,ws,prec
45.996,-77.427,2007,5,10,8,14.78,94.9,2.7324,0
45.996,-77.427,2007,5,10,9,17.44,79.11,3.6663,0
45.996,-77.427,2007,5,10,10,21.21,62.95,4.359,0
45.996,-77.427,2007,5,10,11,23.6,46.17,8.21,0
45.996,-77.427,2007,5,10,12,24.55,41.53,9.42,0
45.996,-77.427,2007,5,10,13,22.37,47.13,6.737,0
45.996,-77.427,2007,5,10,14,18.11,88.2,2.116,0.5
45.996,-77.427,2007,5,10,15,21.55,65.61,2.478,0
45.996,-77.427,2007,5,10,16,23.02,51.56,4.689,0
45.996,-77.427,2007,5,10,17,23.94,47.2,2.393,0
45.996,-77.427,2007,5,10,18,25.37,46.1,6.836,0
45.996,-77.427,2007,5,10,19,23.84,50.09,4.198,0
45.996,-77.427,2007,5,10,20,20.53,68.85,6.274,0
45.996,-77.427,2007,5,10,21,18.15,77.97,3.545,0
45.996,-77.427,2007,5,10,22,15.81,87.8,1.713,0
45.996,-77.427,2007,5,10,23,15.6,89.7,2.605,0
45.996,-77.427,2007,5,11,0,14.1,92.6,2.403,0
45.996,-77.427,2007,5,11,1,14.62,89.5,5.118,0
45.996,-77.427,2007,5,11,2,12.78,95.8,2.899,0
45.996,-77.427,2007,5,11,3,13.46,95.4,4.189,0
45.996,-77.427,2007,5,11,4,12.54,98,2.675,0
45.996,-77.427,2007,5,11,5,11.05,99.8,3.53,0
45.996,-77.427,2007,5,11,6,11.22,99.8,4.528,0
45.996,-77.427,2007,5,11,7,13.19,92.4,7.526,0
45.996,-77.427,2007,5,11,8,14.04,89.1,9.25,0
45.996,-77.427,2007,5,11,9,14.61,87.6,8.08,0
45.996,-77.427,2007,5,11,10,14.1,81.1,9.8,0
45.996,-77.427,2007,5,11,11,14.17,63.28,11.33,0
45.996,-77.427,2007,5,11,12,14.44,59.49,10.53,0
45.996,-77.427,2007,5,11,13,14.61,51.85,14.21,0
45.996,-77.427,2007,5,11,14,16.81,36.79,13.26,0
45.996,-77.427,2007,5,11,15,17.46,32.67,13.17,0
45.996,-77.427,2007,5,11,16,16.78,30.83,13.27,0
45.996,-77.427,2007,5,11,17,16.44,30.42,12.19,0
45.996,-77.427,2007,5,11,18,15.62,32.02,11.04,0
45.996,-77.427,2007,5,11,19,14.24,33.6,14.13,0
45.996,-77.427,2007,5,11,20,11.92,37.01,11.48,0
45.996,-77.427,2007,5,11,21,10.37,40.74,9.28,0
45.996,-77.427,2007,5,11,22,9.31,43.82,7.82,0
45.996,-77.427,2007,5,11,23,7.876,43.54,11.58,0
45.996,-77.427,2007,5,12,0,6.11,47,7.308,0
45.996,-77.427,2007,5,12,1,4.922,50.38,6.712,0
45.996,-77.427,2007,5,12,2,3.796,54.38,4.913,0
45.996,-77.427,2007,5,12,3,2.785,54.8,4.528,0
45.996,-77.427,2007,5,12,4,1.523,60.37,4.488,0
45.996,-77.427,2007,5,12,5,0.339,65.48,3.366,0
45.996,-77.427,2007,5,12,6,0.581,66.2,4.098,0
45.996,-77.427,2007,5,12,7,1.25,64.54,5.846,0
45.996,-77.427,2007,5,12,8,3.182,57.38,5.836,0
45.996,-77.427,2007,5,12,9,4.122,52,6.84,0
45.996,-77.427,2007,5,12,10,6.611,42.82,5.524,0
45.996,-77.427,2007,5,12,11,7.417,36.16,11.05,0
45.996,-77.427,2007,5,12,12,9.26,26.33,11.26,0
45.996,-77.427,2007,5,12,13,10.55,26.33,7.758,0
45.996,-77.427,2007,5,12,14,10.96,23.5,9.74,0
45.996,-77.427,2007,5,12,15,11.3,23.33,9.26,0
45.996,-77.427,2007,5,12,16,13.15,20.13,7.014,0
45.996,-77.427,2007,5,12,17,12.43,18.59,10.59,0
45.996,-77.427,2007,5,12,18,12.53,18.56,9.79,0
45.996,-77.427,2007,5,12,19,12.16,20.67,11.95,0
45.996,-77.427,2007,5,12,20,10.32,21.22,8.55,0
45.996,-77.427,2007,5,12,21,8.39,23.85,6.17,0
45.996,-77.427,2007,5,12,22,4.92,35.02,3.47,0
