id,yr,mon,day,sunrise,sunset,peak_hr,duration,ffmc,dmc,dc,isi,bui,fwi,dsr,gfmc,gsi,gfwi,ws_smooth,isi_smooth,gsi_smooth
PRF,2007,5,10,05:44,20:26,19,0,87.3129,8.4432,21.1467,3.6004,8.4509,3.4654,0.2454,88.2649,5.3073,15.1738,5.2229,3.7912,7.4157
PRF,2007,5,11,05:43,20:28,19,7,88.2851,10.5969,27.3831,6.8259,10.7721,7.5462,0.9731,86.8763,31.814,27.9655,12.2706,6.2154,27.3203
PRF,2007,5,12,05:42,20:29,19,11,91.0388,12.6418,32.1069,9.0752,12.7415,10.4615,1.7348,88.0984,32.0172,28.0109,10.1137,8.2731,26.3965
PRF,2007,5,13,05:40,20:30,17,12,91.5165,14.8864,36.37,10.2206,14.8752,12.4002,2.3439,88.4974,40.3692,29.6666,13.0006,10.2415,40.5064
PRF,2007,5,14,05:39,20:31,15,9,91.9807,17.9607,41.4316,11.428,17.921,14.7814,3.1987,88.7227,49.583,31.135,13.7775,11.3749,49.2317
PRF,2007,5,15,05:38,20:33,17,0,41.9293,7.0455,40.4756,0.0646,9.8183,0.0386,0.0001,65.1315,0.0,0.0,4.6903,0.0624,0.0
PRF,2007,5,16,05:37,20:34,17,0,37.9919,0.0946,26.2353,0.036,0.1875,0.0078,0.0,50.4423,0.0,0.0,7.2019,0.0334,0.0
PRF,2007,5,17,05:36,20:35,19,0,86.6561,2.5471,32.2435,5.107,4.254,3.5988,0.2624,85.4146,26.8324,26.749,11.1425,4.653,22.6148
PRF,2007,5,18,05:34,20:36,19,6,90.6094,5.2365,37.7523,7.3975,7.7764,6.9442,0.8399,87.2958,23.327,25.7491,7.8346,6.9371,19.0459
PRF,2007,5,19,05:33,20:37,23,12,91.1176,9.4927,44.7014,8.3145,12.4015,9.5981,1.4895,84.2103,15.7749,22.9548,9.4851,8.1056,14.802
PRF,2007,5,20,05:32,20:39,5,0,86.9396,9.4927,44.7014,3.8726,12.4015,4.7217,0.4243,80.4035,2.3408,9.3266,6.7,3.8726,2.3407
PRF,2007,5,21,05:31,20:40,18,10,92.5757,13.0935,54.1635,8.321,16.3225,10.9873,1.8921,87.7348,13.5575,21.8728,6.5479,8.594,16.4514
PRF,2007,5,22,05:30,20:41,18,11,92.7102,16.8419,60.4446,9.5473,19.8539,13.5116,2.7285,86.9107,23.9002,25.9224,7.6126,9.2409,21.3015
PRF,2007,5,23,05:29,20:42,16,12,91.6846,20.4453,66.6539,12.5367,23.1433,17.9032,4.4901,84.0525,48.9686,31.046,15.6106,11.9631,46.1657
PRF,2007,5,24,05:28,20:43,17,10,94.0542,25.9558,75.8215,14.3111,27.9723,21.576,6.2474,85.2618,44.7331,30.3998,14.4969,15.7702,52.1126
