id,lat,long,timezone,yr,mon,day,hr,temp,rh,ws,prec,grass_fuel_load,percent_cured,solrad,sunrise,sunset,sunlight_hours,mcffmc,ffmc,dmc,dc,isi,bui,fwi,dsr,mcgfmc_matted,mcgfmc_standing,gfmc,gsi,gfwi,prec_cumulative,canopy_drying
PRF,45.996,-77.427,-4,2007,5,10,8,14.78,94.9,2.7324,0.0,0.35,84.4,0.0586,5.7464,20.4498,14.7034,18.4563,83.1265,6.0167,15.4092,1.8814,6.0893,0.8842,0.0219,20.5278,22.2388,79.9891,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,9,17.44,79.11,3.6663,0.0,0.35,84.4,0.2937,5.7464,20.4498,14.7034,18.4679,83.1165,6.0976,15.8583,1.9695,6.218,0.9346,0.0241,18.1412,22.0928,81.817,0.8514,3.2216,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,10,21.21,62.95,4.359,0.0,0.35,84.4,0.539,5.7464,20.4498,14.7034,17.9781,83.5392,6.2721,16.3639,2.1545,6.4059,1.2034,0.0377,12.7284,19.4418,85.9941,3.9279,13.0239,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,11,23.6,46.17,8.21,0.0,0.35,84.4,0.6955,5.7464,20.4498,14.7034,16.4232,84.8979,6.5541,16.9054,3.1394,6.6565,2.5077,0.1384,8.6081,15.5152,88.7254,19.4806,24.462,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,12,24.55,41.53,9.42,0.0,0.35,84.4,0.7681,5.7464,20.4498,14.7034,14.8799,86.2722,6.8728,17.4612,4.0407,6.9282,3.5302,0.2536,7.0091,13.41,89.6781,27.709,26.9787,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,13,22.37,47.13,6.737,0.0,0.35,84.4,0.7731,5.7464,20.4498,14.7034,14.3306,86.7677,7.1353,17.9842,3.7861,7.1644,3.3337,0.2292,7.0091,13.41,90.0286,17.2066,23.5754,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,14,18.11,88.2,2.116,0.5,0.35,84.4,0.3302,5.7464,20.4498,14.7034,16.0334,85.2425,7.1828,18.4434,2.4216,7.2788,1.7965,0.0767,82.5753,22.3593,42.846,0.0,0.0,0.5,0.0
PRF,45.996,-77.427,-4,2007,5,10,15,21.55,65.61,2.478,0.0,0.35,84.4,0.6294,5.7464,20.4498,14.7034,16.0334,85.2425,7.3473,18.9541,2.4662,7.4626,1.8937,0.0842,29.0321,20.0109,73.5717,0.0,0.0,0.5,1.0
PRF,45.996,-77.427,-4,2007,5,10,16,23.02,51.56,4.689,0.0,0.35,84.4,0.6084,5.7464,20.4498,14.7034,15.4214,85.787,7.5948,19.4869,2.9738,7.6935,2.5661,0.1442,12.9975,16.7369,85.7658,4.0527,13.2474,0.5,2.0
PRF,45.996,-77.427,-4,2007,5,10,17,23.94,47.2,2.393,0.0,0.35,84.4,0.5001,5.7464,20.4498,14.7034,14.7324,86.4049,7.8755,20.0335,2.8894,7.9438,2.522,0.1398,9.5251,14.8732,88.6065,3.2446,11.6589,0.5,3.0
PRF,45.996,-77.427,-4,2007,5,10,18,25.37,46.1,6.836,0.0,0.35,84.4,0.363,5.7464,20.4498,14.7034,13.958,87.1057,8.179,20.6016,3.9925,8.2097,3.8352,0.2937,9.5251,13.6208,88.2107,13.432,21.8064,0.5,4.0
PRF,45.996,-77.427,-4,2007,5,10,19,23.84,50.09,4.198,0.0,0.35,84.4,0.2054,5.7464,20.4498,14.7034,13.7303,87.3129,8.4432,21.1467,3.6004,8.4509,3.4654,0.2454,9.7767,13.6208,88.2649,5.3073,15.1738,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,20,20.53,68.85,6.274,0.0,0.35,84.4,0.0448,5.7464,20.4498,14.7034,14.1963,86.8893,8.5851,21.6421,3.7633,8.6209,3.6908,0.2744,13.4382,15.2658,85.3277,7.2612,17.4128,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,21,18.15,77.97,3.545,0.0,0.35,84.4,0.0,5.7464,20.4498,14.7034,15.1119,86.0639,8.5851,21.6421,2.9184,8.6209,2.7048,0.1583,16.7877,17.5243,82.877,1.4278,5.7957,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,22,15.81,87.8,1.713,0.0,0.35,84.4,0.0,5.7464,20.4498,14.7034,16.5477,84.7882,8.5851,21.6421,2.2292,8.6209,1.8055,0.0774,20.2588,20.5886,80.2229,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,10,23,15.6,89.7,2.605,0.0,0.35,84.4,0.0,5.7464,20.4498,14.7034,17.9266,83.5838,8.5851,21.6421,1.9838,8.6209,1.4326,0.0514,22.3568,22.4998,78.5808,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,0,14.1,92.6,2.403,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,19.3511,82.3606,8.5851,21.6421,1.6798,8.6209,0.9367,0.0242,24.2293,24.2941,77.0669,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,1,14.62,89.5,5.118,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,20.1618,81.6737,8.5851,21.6421,1.7722,8.6209,0.9882,0.0266,24.2293,24.2941,77.0178,0.0,0.0,0.0,0.0
