lat,long,yr,mon,day,hr,temp,rh,ws,prec
51.7256,-93.6442,2019,5,8,0,6.1,49,13.1,0.0
51.7256,-93.6442,2019,5,8,1,4.3,55,15.1,0.0
51.7256,-93.6442,2019,5,8,2,2.8,60,11.6,0.0
51.7256,-93.6442,2019,5,8,3,1.4,66,8.9,0.0
51.7256,-93.6442,2019,5,8,4,0.2,69,8.6,0.0
51.7256,-93.6442,2019,5,8,5,-0.5,70,7.1,0.0
51.7256,-93.6442,2019,5,8,6,0.8,59,10.6,0.0
51.7256,-93.6442,2019,5,8,7,2.3,49,13.3,0.0
51.7256,-93.6442,2019,5,8,8,4.0,43,14.5,0.0
51.7256,-93.6442,2019,5,8,9,5.1,38,14.0,0.0
51.7256,-93.6442,2019,5,8,10,7.1,30,14.0,0.0
51.7256,-93.6442,2019,5,8,11,8.8,24,12.7,0.0
51.7256,-93.6442,2019,5,8,12,10.4,21,12.8,0.0
51.7256,-93.6442,2019,5,8,13,12.0,17,14.0,0.0
51.7256,-93.6442,2019,5,8,14,13.5,16,12.0,0.0
51.7256,-93.6442,2019,5,8,15,14.9,14,13.0,0.0
51.7256,-93.6442,2019,5,8,16,15.9,13,10.7,0.0
51.7256,-93.6442,2019,5,8,17,15.8,13,12.2,0.0
51.7256,-93.6442,2019,5,8,18,15.4,14,11.5,0.0
51.7256,-93.6442,2019,5,8,19,14.1,17,9.5,0.0
51.7256,-93.6442,2019,5,8,20,10.4,27,5.3,0.0
51.7256,-93.6442,2019,5,8,21,6.8,38,6.4,0.0
51.7256,-93.6442,2019,5,8,22,6.7,39,6.3,0.0
51.7256,-93.6442,2019,5,8,23,7.0,37,7.2,0.0
51.7256,-93.6442,2019,5,9,0,6.7,40,8.4,0.0
51.7256,-93.6442,2019,5,9,1,6.3,44,8.5,0.0
51.7256,-93.6442,2019,5,9,2,6.1,49,7.9,0.0
51.7256,-93.6442,2019,5,9,3,4.9,59,8.1,0.0
51.7256,-93.6442,2019,5,9,4,4.4,63,6.8,0.0
51.7256,-93.6442,2019,5,9,5,4.6,66,6.9,0.0
51.7256,-93.6442,2019,5,9,6,6.6,63,8.1,0.0
51.7256,-93.6442,2019,5,9,7,9.1,62,11.4,0.0
51.7256,-93.6442,2019,5,9,8,11.2,64,13.0,0.0
51.7256,-93.6442,2019,5,9,9,12.8,61,16.5,0.0
51.7256,-93.6442,2019,5,9,10,12.4,59,16.1,0.0
51.7256,-93.6442,2019,5,9,11,12.2,50,18.1,0.0
51.7256,-93.6442,2019,5,9,12,11.6,40,20.3,0.0
51.7256,-93.6442,2019,5,9,13,13.5,31,22.3,0.0
51.7256,-93.6442,2019,5,9,14,12.0,27,27.9,0.0
51.7256,-93.6442,2019,5,9,15,9.7,30,29.2,0.0
51.7256,-93.6442,2019,5,9,16,8.5,29,29.2,0.0
51.7256,-93.6442,2019,5,9,17,7.3,31,30.2,0.0
51.7256,-93.6442,2019,5,9,18,5.2,36,26.0,0.0
51.7256,-93.6442,2019,5,9,19,3.2,40,25.4,0.0
51.7256,-93.6442,2019,5,9,20,1.4,45,20.2,0.0
51.7256,-93.6442,2019,5,9,21,0.4,48,13.5,0.0
51.7256,-93.6442,2019,5,9,22,-0.9,51,10.0,0.0
51.7256,-93.6442,2019,5,9,23,-1.2,54,8.9,0.0
51.7256,-93.6442,2019,5,10,0,-2.0,53,8.7,0.0
51.7256,-93.6442,2019,5,10,1,-2.3,57,9.0,0.0
51.7256,-93.6442,2019,5,10,2,-3.0,60,7.3,0.0
51.7256,-93.6442,2019,5,10,3,-3.3,54,10.8,0.0
51.7256,-93.6442,2019,5,10,4,-3.9,52,12.1,0.0
51.7256,-93.6442,2019,5,10,5,-4.0,52,13.7,0.0
51.7256,-93.6442,2019,5,10,6,-3.5,45,16.8,0.0
51.7256,-93.6442,2019,5,10,7,-4.1,46,18.1,0.0
51.7256,-93.6442,2019,5,10,8,-2.6,39,16.6,0.0
51.7256,-93.6442,2019,5,10,9,-1.4,39,17.7,0.0
51.7256,-93.6442,2019,5,10,10,0.2,34,13.9,0.0
51.7256,-93.6442,2019,5,10,11,0.8,32,11.3,0.0
51.7256,-93.6442,2019,5,10,12,2.1,29,13.9,0.0
51.7256,-93.6442,2019,5,10,13,3.9,27,12.2,0.0
51.7256,-93.6442,2019,5,10,14,4.9,25,12.1,0.0
51.7256,-93.6442,2019,5,10,15,6.0,22,11.7,0.0
51.7256,-93.6442,2019,5,10,16,6.5,21,10.7,0.0
51.7256,-93.6442,2019,5,10,17,7.1,20,9.8,0.0
51.7256,-93.6442,2019,5,10,18,6.9,20,9.8,0.0
51.7256,-93.6442,2019,5,10,19,5.9,21,8.6,0.0
